id,guid,request,request_body,timestamp,response,latency_ms,volume,psp,bank,country,status,error,event_type,source_file,source_format,validation_flags,is_valid,confidence,severity
line-1,,POST /withdrawals/process,,2026-04-16T13:20:05,,305.0,99.99,Stripe,UniCredit,IT,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-2,,POST /withdrawals/process,,2026-04-16T13:21:11,,640.0,120.0,Adyen,DeutscheBank,DE,FAILED,TIMEOUT,request,test.txt,freetext_numbered,,True,1.0,HIGH
line-3,,POST /withdrawals/process,,2026-04-16T13:22:45,,280.0,45.5,PayPal,BNPParibas,FR,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-4,,POST /withdrawals/process,,2026-04-16T13:23:10,,410.0,220.0,Worldline,Santander,ES,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-5,,POST /withdrawals/process,,2026-04-16T13:24:33,,780.0,75.0,Checkout,Barclays,UK,FAILED,NETWORK_ERROR,request,test.txt,freetext_numbered,,True,1.0,CRITICAL
line-6,,POST /withdrawals/process,,2026-04-16T13:25:12,,260.0,150.75,Nuvei,ING,NL,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-7,,POST /withdrawals/process,,2026-04-16T13:26:44,,900.0,60.0,Stripe,UniCredit,IT,FAILED,INSUFFICIENT_FUNDS,request,test.txt,freetext_numbered,,True,1.0,LOW
line-8,,POST /withdrawals/process,,2026-04-16T13:27:18,,340.0,310.2,Adyen,DeutscheBank,DE,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-9,,POST /withdrawals/process,,2026-04-16T13:28:02,,720.0,88.0,PayPal,Revolut,UK,DECLINED,DECLINED,request,test.txt,freetext_numbered,,True,1.0,MEDIUM
line-10,,POST /withdrawals/process,,2026-04-16T13:29:55,,390.0,130.0,Worldline,BNPParibas,FR,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-11,,POST /withdrawals/process,,2026-04-16T13:30:10,,310.0,210.0,Stripe,Santander,ES,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-12,,POST /withdrawals/process,,2026-04-16T13:31:44,,810.0,55.0,Adyen,ING,NL,FAILED,TIMEOUT,request,test.txt,freetext_numbered,,True,1.0,HIGH
line-13,,POST /withdrawals/process,,2026-04-16T13:32:21,,275.0,75.25,PayPal,Barclays,UK,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-14,,POST /withdrawals/process,,2026-04-16T13:33:09,,330.0,99.0,Checkout,UniCredit,IT,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
