psp,bank,country,total_ops,success_ops,failed_ops,decline_ops,error_count,success_rate_%,decline_rate_%,error_rate_%,conversion_rate_%,total_withdrawals_checked,job_starts,job_finishes,job_completion_rate_%,avg_latency_ms,p50_latency_ms,p95_latency_ms,max_latency_ms,transaction_total_volume
Adyen,BNPParibas,ES,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,422.97,422.97,422.97,422.97,199.01
Adyen,BNPParibas,FR,3,3,0,0,0,100.0,0.0,0.0,100.0,3,3,3,100.0,313.33,295.0,300.0,345.0,570.0
Adyen,BNPParibas,IT,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,686.21,686.21,686.21,686.21,218.5
Adyen,BNPParibas,UK,1,0,1,1,0,0.0,100.0,0.0,0.0,1,1,1,100.0,849.67,849.67,849.67,849.67,77.22
Adyen,Barclays,DE,1,0,1,0,1,0.0,0.0,100.0,0.0,1,1,1,100.0,275.4,275.4,275.4,275.4,149.83
Adyen,Barclays,FR,2,2,0,0,0,100.0,0.0,0.0,100.0,2,2,2,100.0,835.24,769.2,769.2,901.27,268.84
Adyen,Barclays,NL,1,0,1,0,1,0.0,0.0,100.0,0.0,1,1,1,100.0,288.96,288.96,288.96,288.96,57.3
Adyen,Barclays,UK,1,0,1,0,1,0.0,0.0,100.0,0.0,1,1,1,100.0,840.0,840.0,840.0,840.0,65.0
Adyen,DeutscheBank,DE,3,2,1,0,1,66.67,0.0,33.33,66.67,3,3,2,66.67,600.29,340.0,640.0,820.88,470.49
Adyen,DeutscheBank,FR,1,0,1,0,1,0.0,0.0,100.0,0.0,1,1,1,100.0,854.36,854.36,854.36,854.36,103.31
Adyen,DeutscheBank,NL,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,753.1,753.1,753.1,753.1,461.72
Adyen,ING,NL,2,0,2,0,2,0.0,0.0,100.0,0.0,2,2,1,50.0,835.0,810.0,810.0,860.0,125.0
Adyen,ING,UK,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,872.22,872.22,872.22,872.22,135.91
Adyen,Santander,DE,3,2,1,0,1,66.67,0.0,33.33,66.67,3,3,3,100.0,445.66,296.05,427.59,613.33,1071.3
Adyen,Santander,ES,2,1,1,1,0,50.0,50.0,0.0,50.0,2,2,2,100.0,485.97,360.0,360.0,611.94,989.41
Adyen,Santander,FR,1,0,1,0,1,0.0,0.0,100.0,0.0,1,1,1,100.0,880.02,880.02,880.02,880.02,12.03
Adyen,UniCredit,NL,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,907.31,907.31,907.31,907.31,190.42
Checkout,BNPParibas,ES,1,0,1,0,1,0.0,0.0,100.0,0.0,1,1,1,100.0,557.79,557.79,557.79,557.79,123.76
Checkout,BNPParibas,IT,1,0,1,0,1,0.0,0.0,100.0,0.0,1,1,0,0.0,486.38,486.38,486.38,486.38,429.93
Checkout,BNPParibas,NL,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,233.63,233.63,233.63,233.63,455.21
Checkout,Barclays,DE,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,570.73,570.73,570.73,570.73,283.49
Checkout,Barclays,FR,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,688.58,688.58,688.58,688.58,187.11
Checkout,Barclays,UK,4,2,2,0,2,50.0,0.0,50.0,50.0,4,4,4,100.0,476.0,356.78,422.45,780.0,974.53
Checkout,DeutscheBank,DE,2,2,0,0,0,100.0,0.0,0.0,100.0,2,2,2,100.0,353.81,330.0,330.0,377.63,701.14
Checkout,DeutscheBank,ES,1,0,1,0,1,0.0,0.0,100.0,0.0,1,1,1,100.0,202.04,202.04,202.04,202.04,212.22
Checkout,DeutscheBank,FR,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,522.68,522.68,522.68,522.68,210.29
Checkout,ING,DE,2,1,1,0,1,50.0,0.0,50.0,50.0,2,2,2,100.0,396.79,206.19,206.19,587.4,664.18
Checkout,ING,NL,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,340.0,340.0,340.0,340.0,199.0
Checkout,Santander,ES,3,2,1,0,1,66.67,0.0,33.33,66.67,3,3,2,66.67,316.57,294.72,315.0,340.0,531.65
Checkout,Santander,FR,3,2,1,1,0,66.67,33.33,0.0,66.67,3,3,3,100.0,616.19,276.37,739.4,832.8,863.09
Checkout,UniCredit,ES,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,347.69,347.69,347.69,347.69,331.33
Checkout,UniCredit,IT,4,2,2,1,1,50.0,25.0,25.0,50.0,4,4,4,100.0,565.53,330.0,757.14,880.0,695.11
Checkout,UniCredit,UK,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,902.87,902.87,902.87,902.87,455.15
Nuvei,BNPParibas,UK,1,0,1,0,1,0.0,0.0,100.0,0.0,1,1,0,0.0,326.22,326.22,326.22,326.22,91.23
